"nzffdRecordNumber","catchmentName","waterBody","waterTemperature","minLength","samplingMethod"
12315,"Grey R","Slab Hut Creek",12.5,75,"Electric fishing - Bank generator or mains"
12408,"Wairau R","Excell Stream",12.5,75,"Electric fishing - Type unknown"
12409,"Wairau R","Excell Stream",14,90,"Electric fishing - Type unknown"
12485,"Nelson Haven","Unnamed stream Wakapuaka",12,40,"Electric fishing - Backpack"
13493,"Awatere R","Nina Brook",15.5,55,"Electric fishing - Backpack"
14044,"Henderson C","Waikumete Stream",12.8,70,"Electric fishing - Combination of traps and electric fishing"
14194,"Waikato R","Awaroa Stream",15.3,70,"Electric fishing - Bank generator or mains"
14195,"Waikato R","Lake Waahi tributary",14.5,40,"Electric fishing - Bank generator or mains"
14196,"Waikato R","Awaroa Stream",16.7,40,"Electric fishing - Bank generator or mains"
14198,"Waikato R","Waitawhara Stream",14.3,40,"Electric fishing - Bank generator or mains"
14214,"Otahu R","Waiharakeke Stream",15.8,35,"Electric fishing - Bank generator or mains"
14234,"Waitemata Hbr","Lucas Creek tributary",18,75,"Electric fishing - Backpack"
14250,"Nukumea S","Nukumea Stream",18,40,"Traps - Gee minnow"
14325,"Te Puru S","Te Puru Stream",16.1,100,"Electric fishing - Combination of traps and electric fishing"
14383,"Pelorus R","Brown River",11.7,90,"Electric fishing - Backpack"
14387,"Clova B","Totaranui Stream",14,55,"Electric fishing - Backpack"
14392,"Pelorus R","Pelorus River tributary",12.5,33,"Electric fishing - Backpack"
14600,"Nelson Haven","Unnamed stream Wakapuaka",12,30,"Electric fishing - Backpack"
15708,"Maraetaha R","Mangakotukutuku Stream tributary",16,180,"Electric fishing - Bank generator or mains"
15968,"Waiau R","Waiau River",12.9,52,"Electric fishing - Backpack"
16169,"Grey R","Bruce Creek tributary",16,25,"Electric fishing - Backpack"
16333,"Grey R","Duffers Creek",17.9,60,"Electric fishing - Backpack"
16335,"Grey R","Palmer Creek",13.9,60,"Electric fishing - Backpack"
17004,"Okura R","Okura River tributary",10.2,50,"Electric fishing - Backpack"
17005,"Okura R","Okura River tributary",12.5,40,"Other net - combination of nets and traps"
17006,"Okura R","Okura River tributary",11.8,30,"Other net - combination of nets and traps"
17089,"Mahurangi Hbr","Unnamed stream Snells Beach",12,20,"Other net - combination of nets and traps"
17090,"Mahurangi Hbr","Unnamed stream Snells Beach",12,25,"Other net - combination of nets and traps"
17092,"Mahurangi Hbr","Unnamed stream Snells Beach",13.5,10,"Other net - combination of nets and traps"
17756,"Tarawera R","Ruruanga Stream",13,40,"Electric fishing - Type unknown"
17757,"Tarawera R","Buddles Creek",14.1,60,"Electric fishing - Type unknown"
17877,"Ngakawau R","Ngakawau River",15,40,"Electric fishing - Type unknown"
17880,"Ngakawau R","St David Stream",12,50,"Electric fishing - Type unknown"
18004,"Waitemata Hbr","Kaipatiki Creek",15.3,60,"Electric fishing - Combination of traps and electric fishing"
18102,"Motueka R","Sherry River",13,45,"Electric fishing - Backpack"
18103,"Kaituna R","Dangerous Creek",16,60,"Electric fishing - Type unknown"
18114,"Motueka R","Brough Creek",7,60,"Electric fishing - Backpack"
19218,"Hikimutu Lgn","Unnamed forest pool",11.8,59,"Traps - Gee minnow"
19247,"Okarito R","Unnamed wetland",12,29,"Traps - Gee minnow"
19294,"Maraetotara R","Maraetotara River",11.5,80,"Traps - Bait trap (Killwell)"
19706,"Te Haruhi B","Unnamed stream Te Haruhi Bay",18,40,"Traps - Bait trap (Killwell)"
20114,"Orowaiti R","Unnamed wetland",15.6,35,"Traps - Gee minnow"
21601,"L Ototoa","Lake Ototoa",19,50,"Other net - combination of nets and traps"
21616,"Anchor B","Unnamed stream Anchor Bay",10,30,"Other net - combination of nets and traps"
21911,"Waikato R","Firewood Creek",17,81,"Electric fishing - Bank generator or mains"
21914,"Waikato R","Firewood Creek tributary",14.2,6,"Electric fishing - Bank generator or mains"
22337,"Kaituna R","Kaituna River",20.9,40,"Other net - combination of nets and traps"
